Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21
2008-12-21,2,11.5,29.3,0.0,,,SE,SE,9.0,9.0,56.0,28.0,1019.3,1014.8,,,19.1,27.3,No,No
2008-12-24,2,15.3,30.9,0.0,,,ESE,NW,6.0,13.0,55.0,23.0,1011.0,1008.2,5.0,,20.9,29.0,No,No
2008-12-28,2,20.1,32.7,0.0,,,N,WNW,13.0,30.0,56.0,15.0,1005.2,1001.7,,,24.6,32.1,No,No
2009-01-25,2,14.0,34.3,0.0,,,ESE,SSE,7.0,13.0,44.0,10.0,1016.5,1014.6,,,21.2,32.1,No,No
2009-02-12,2,16.1,21.6,0.0,,,SSE,NE,11.0,15.0,58.0,69.0,1017.0,1017.3,2.0,8.0,17.0,17.3,No,Yes
2009-02-14,2,12.4,29.2,0.0,,,S,,7.0,0.0,37.0,18.0,1022.5,1016.4,,,18.3,28.5,No,No
2009-02-15,2,13.3,31.3,0.0,,,SSE,SSW,7.0,15.0,50.0,23.0,1016.2,1012.8,,,19.2,29.2,No,No
2009-03-10,2,15.5,32.0,0.0,,,ESE,E,2.0,4.0,51.0,25.0,1019.5,1016.2,,,20.1,30.8,No,Yes
2009-03-19,2,11.3,30.1,0.0,,,S,SW,6.0,7.0,56.0,15.0,1016.3,1013.6,,,14.7,29.3,No,No
2009-03-24,2,10.8,31.9,0.0,,,SSE,WNW,6.0,20.0,62.0,20.0,1016.5,1014.4,,,15.4,30.7,No,No
2009-04-02,2,14.3,32.1,0.0,,,,ENE,0.0,11.0,59.0,30.0,1022.6,1018.4,,,18.4,30.9,No,Yes
2009-04-08,2,8.2,24.0,0.0,,,SSE,SSE,7.0,13.0,60.0,30.0,1027.1,1023.4,,,13.8,23.5,No,No
2009-04-19,2,11.2,23.9,0.0,,,SE,SE,13.0,15.0,54.0,33.0,1022.7,1019.6,,,18.0,23.6,No,No
2009-04-29,2,5.4,12.2,0.0,,,SE,SSE,9.0,7.0,62.0,46.0,1023.1,1020.9,,8.0,8.2,12.1,No,No
2009-05-18,2,2.6,19.7,0.0,,,,ENE,0.0,4.0,82.0,34.0,1024.7,1021.2,,,8.8,18.7,No,No
2009-05-31,2,1.7,17.1,0.0,,,,SE,0.0,9.0,73.0,46.0,1034.1,1029.9,,,8.0,16.8,No,Yes
2009-06-07,2,4.7,11.6,14.4,,,NNW,NNW,6.0,17.0,93.0,80.0,1007.5,1006.3,8.0,8.0,10.0,11.5,Yes,Yes
2009-06-28,2,9.3,12.3,5.4,,,WSW,NNW,9.0,11.0,98.0,76.0,1007.5,1006.6,7.0,8.0,9.8,12.3,Yes,Yes
2009-07-05,2,3.4,12.4,0.0,,,W,W,9.0,15.0,80.0,56.0,1019.9,1019.0,,,7.0,12.0,No,No
2009-07-31,2,6.5,14.5,5.2,,,W,WSW,19.0,22.0,81.0,61.0,1021.3,1021.5,5.0,8.0,11.6,12.7,Yes,No
2009-08-02,2,7.5,14.1,0.8,,,SW,NNW,2.0,17.0,94.0,65.0,1027.9,1024.8,1.0,6.0,10.5,13.3,No,No
2009-08-09,2,-1.0,12.2,0.0,,,S,E,2.0,7.0,91.0,48.0,1021.6,1018.5,,,2.0,12.1,No,No
2009-08-13,2,7.7,11.6,0.2,,,NW,N,6.0,13.0,94.0,87.0,1015.7,1015.3,8.0,7.0,9.4,11.1,No,Yes
2009-08-14,2,6.8,15.2,1.2,,,,WNW,0.0,13.0,99.0,61.0,1021.1,1019.1,8.0,,9.0,14.7,Yes,No
2009-08-16,2,5.1,15.5,1.6,,,NE,ENE,11.0,11.0,79.0,70.0,1012.2,1006.4,8.0,8.0,11.0,14.3,Yes,Yes
2009-09-05,2,2.1,15.0,0.0,,,ESE,NW,4.0,11.0,81.0,54.0,1019.5,1017.9,,6.0,8.6,14.9,No,No
2009-09-20,2,8.0,18.9,0.4,,,,W,0.0,20.0,79.0,50.0,1014.6,1013.7,8.0,,14.3,16.8,No,No
2009-09-27,2,4.5,12.9,1.6,,,WNW,W,35.0,37.0,78.0,72.0,1009.8,1008.4,5.0,8.0,6.7,10.7,Yes,No
2009-10-05,2,8.3,19.7,0.2,,,,SW,0.0,20.0,85.0,47.0,1020.7,1018.6,4.0,,12.5,19.2,No,No
2009-10-06,2,5.2,16.2,0.0,,,ENE,SSE,6.0,15.0,85.0,77.0,1020.2,1018.3,2.0,2.0,8.8,10.0,No,Yes
2009-10-12,2,5.8,23.3,0.0,,,SSE,NE,9.0,20.0,88.0,64.0,1007.9,999.4,,1.0,11.0,19.0,No,Yes
2009-11-03,2,18.7,24.3,0.0,,,W,W,24.0,20.0,46.0,39.0,1009.8,1011.9,,,24.2,21.9,No,No
2010-01-12,2,24.5,42.4,0.2,,,S,NNW,7.0,33.0,48.0,12.0,1007.7,1003.6,3.0,,29.4,41.1,No,No
2010-01-14,2,15.7,31.7,3.0,,,SSE,SSE,15.0,19.0,55.0,28.0,1016.1,1013.2,8.0,,20.9,30.4,Yes,No
2010-02-16,2,17.6,29.0,0.0,,,SSE,E,19.0,13.0,48.0,34.0,1014.7,1013.3,,,20.6,27.2,No,No
2010-02-23,2,12.5,26.1,0.2,,,W,SSE,15.0,11.0,56.0,34.0,1017.3,1016.7,,,15.2,24.3,No,No
2010-03-11,2,12.3,24.4,,,,SE,SE,13.0,11.0,56.0,40.0,1031.4,1030.2,,,15.2,22.8,,No
2010-03-12,2,10.6,25.0,0.0,,,S,W,4.0,4.0,72.0,40.0,1036.3,1033.6,,,14.2,24.1,No,No
